code	store_id	order_number	session	username	shipmode	sku	UPC_No	quantity	price	subtotal	shipping	taxable	size	color	options	order_date	update_date	status	parent	affiliate	campaign	description
WBA32273-1		WBA32273	pwvZbnbf	U00254		WBSFCMS108-05-40		1	48.95	48.95					WBSFCMS108-05-40	20081012	2008-10-13 08:34:05	shipped				3XDRY ESSEXSHIRT BLUE L
WBA32273-2		WBA32273	pwvZbnbf	U00254		WBSFCMS108-21-40		1	48.95	48.95					WBSFCMS108-21-40	20081012	2008-10-13 08:34:05	shipped				3XDRY ESSEXSHIRT GREEN L
WBA32274-1		WBA32274	6pej5qcs	U00255		WBSFCSF10-606-50		1	119.95	119.95					WBSFCSF10-606-50	20081013	2008-10-13 10:30:30	pending				DOBBY PT PULLOVER NAVY XL
WBA32275-1		WBA32275	DkXnycPH	U00256		WBSFHWC10-82000		1	19.95	19.95					WBSFHWC10-82000	20081014	2008-10-14 19:52:05	pending				WAXED CANVAS CAP BROWN
WBA32275-2		WBA32275	DkXnycPH	U00256		WBSFSH-F41-10		1	119.95	119.95					WBSFSH-F41-10	20081014	2008-10-14 19:52:05	pending				L2WADING BOOT FELT 10
WBA32275-3		WBA32275	DkXnycPH	U00256		WBSFWL210-615-40		1	249.95	249.95					WBSFWL210-615-40	20081014	2008-10-14 19:52:05	pending				L2 STOCKINGFOOT WADER L
WBA32275-4		WBA32275	DkXnycPH	U00256		WBSFLWB10-811-40		1	29.95	29.95					WBSFLWB10-811-40	20081014	2008-10-14 19:52:05	pending				WADERWICK BOTTOM BLACK LG
WBA32275-5		WBA32275	DkXnycPH	U00256		WBSFOFJ10-667-40		1	179.95	179.95					WBSFOFJ10-667-40	20081014	2008-10-14 19:52:05	pending				FREESTONE JKTSLATE/KHAKI L
WBA32275-6		WBA32275	DkXnycPH	U00256		WBSFMS481-40		1	24.95	24.95					WBSFMS481-40	20081014	2008-10-14 19:52:05	pending				EXSTREAM SOCK L
WBA32276-1		WBA32276	CUi6hfLP	U00257		WBSFCLT10-805-30		1	27.95	27.95					WBSFCLT10-805-30	20081015	2008-10-15 21:20:23	pending				TOURNAMENTSHIRT BLUE M
WBA32276-2		WBA32276	CUi6hfLP	U00257		WBSFCVG10-713-30		0	41.95	41.95					WBSFCVG10-713-30	20081015	2008-10-24 09:14:37	pending				3XDRY RIVERTEK SHIRT LT GRN M
WBA32277-1		WBA32277	TjXwKebz	U00258		WBSFBDD-564-20		1	129.95	129.95					WBSFBDD-564-20	20081019	2008-10-19 13:37:52	pending				DRY CREEK DUFFEL COALS
WBA32278-1		WBA32278	YE5ESGyC	U00259		WBSFCMS108-05-60		1	48.95	48.95					WBSFCMS108-05-60	20081019	2008-10-19 16:58:31	pending				3XDRY ESSEXSHIRT BLUE XXL
WBA32279-1		WBA32279	pymxS2Iq	U00260		WBSFHWC10-82000		1	19.95	19.95					WBSFHWC10-82000	20081021	2008-10-21 11:50:05	pending				WAXED CANVAS CAP BROWN
WBA32280-1		WBA32280	XNZy7F4G	U00261		WBSFCPF10-854-50		1	31.50	31.50					WBSFCPF10-854-50	20081022	2008-10-23 11:27:25	partial				3XDRY SOLARFLEX SHIRT WHITE XL
WBA32281-1		WBA32281	d5CvgEJy	U00262		WBSFCPS10-803-30		1	27.95	27.95					WBSFCPS10-803-30	20081022	2008-10-23 11:36:13	partial				3XDRY TROUT POLO LODEN M
WBA32282-1		WBA32282	q7N3ZoES	U00263		WBSG217-1480-4		1	745.00	745.00					WBSG217-1480-4	20081023	2008-11-14 17:38:22	canceled				1480-4 XI2 ROD 4 PC 8'0"L 14 WT
WBA32283-1		WBA32283	WmTVv63Q	U00264		WBSFABO-4080		1	5.95	5.95					WBSFABO-4080	20081023	2008-10-24 09:19:59	partial				BOTTLE OPENER ORANGE
