SKU,Manufacturer_ID,Brand_Name,Product_Name,Short_Description,Category,Subcategory,Thumb_URL,Image_URL,Buy_Link,Retail_Price
WBSFHGE106,gore_tex_exstream_hat,Simms,GORE-TEX EXSTREAM HAT       ,"This hat provides hardcore anglers with waterproof, breathable protection.",Clothing,Hats,http://www.westbranchangler.com/site/images/items/120x120/gore-tex-extreme_hat.jpg,http://www.westbranchangler.com/site/images/items/325x325/gore-tex-extreme_hat.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFHGE106,49.95
WBSFD06,gore_tex_repair_kit,Simms,GORE-TEX REPAIR KIT        ,The same great kit that you find with each pair of US made Simms waders,Accessories,Maintenance,http://www.westbranchangler.com/site/images/items/120x120/goretex_repair_kit.jpg,http://www.westbranchangler.com/site/images/items/325x325/goretex_repair_kit.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFD06,5.95
WBSFAGG,gravel_wrap,Simms,GUIDE MODEL GRAVEL GUARD      ,Full-featured gravel protection.,Accessories,Wading,http://www.westbranchangler.com/site/images/items/120x120/guide_gravel_wraps_large.jpg,http://www.westbranchangler.com/site/images/items/325x325/guide_gravel_wraps_large.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFAGG,29.95
WBSFAGS,guard_socks,Simms,GUARD SOCKS  ,Essential to wear with any of our boots when you're wet wading.,Accessories,Wading,http://www.westbranchangler.com/site/images/items/120x120/guard_sock.jpg,http://www.westbranchangler.com/site/images/items/325x325/guard_sock.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFAGS,29.95
WBSFSG,guide_boot_studded_aqua,Simms,GUIDE BOOT FELT / STUDDED FELT / STREAMTREAD ,Redesigned for 2008. Leather makes our Guide Boots burly; a molded midsole makes them light. Our Guide Boots are tough AND comfortable.,Clothing,Boots,http://www.westbranchangler.com/site/images/items/120x120/guide_boot.jpg,http://www.westbranchangler.com/site/images/items/325x325/guide_boot.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFSG,159.95
WBSFLSP10864,guide_fleece_pant,Simms,GUIDE FLEECE PANT    ,"Exceptionally warm, comfortable fleece-ideal for wearing under our waders in the coldest conditions.",Clothing,Layering,http://www.westbranchangler.com/site/images/items/120x120/guide_fleece_pant_large.jpg,http://www.westbranchangler.com/site/images/items/325x325/guide_fleece_pant_large.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFLSP10864,99.95
WBSFCKS109,guide_shirt_09,Simms,GUIDE SHIRT ,"An angler favorite, our Guide Shirt sports a new look for 2009 with the outstanding performance features of COR3 Technology and the comfort of cotton.",Clothing,Sportswear,http://www.westbranchangler.com/site/images/items/120x120/simms_guide_shirt_2009.jpg,http://www.westbranchangler.com/site/images/items/325x325/simms_guide_shirt_2009.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFCKS109,59.95
WBSFCGS109,guide_short_09,Simms,GUIDE SHORT ,"Redesigned with an updated look and more storage. Like the Guide Pants, these quick-drying shorts offer functional performance in a comfortable fit.",Clothing,Sportswear,http://www.westbranchangler.com/site/images/items/120x120/simms_guide_short_2009.jpg,http://www.westbranchangler.com/site/images/items/325x325/simms_guide_short_2009.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFCGS109,49.95
WBSFLGT1080,guide_top,Simms,GUIDE TOP,"Exceptionally warm, comfortable fleece - a great compliment to our Guide Fleece Pant and an excellent choice for cold weather fishing.",Clothing,Layering,http://www.westbranchangler.com/site/images/items/120x120/simms_guide_top_large.jpg,http://www.westbranchangler.com/site/images/items/325x325/simms_guide_top_large.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFLGT1080,99.95
WBSFCZP109,guide_zip_off_pant_09,Simms,GUIDE ZIP-OFF PANT ,Redesigned in 2009 with an updated look and more storage. These quick-drying pants offer functional performance and excellent sun protection.,Clothing,Sportswear,http://www.westbranchangler.com/site/images/items/120x120/simms_guide_zipoff_pant_2009.jpg,http://www.westbranchangler.com/site/images/items/325x325/simms_guide_zipoff_pant_2009.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFCZP109,69.95
WBSFARC,hard_bite_boot_studs,Simms,HardBite Boot Studs Felt Soles,These studs work great with your felt boots just screw em in.,Accessories,Wading,http://www.westbranchangler.com/site/images/items/120x120/hard_bite_boot_studs.jpg,http://www.westbranchangler.com/site/images/items/325x325/hard_bite_boot_studs.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFARC,14.95
WBSFPHT109,headwaters_backpack,Simms,HEADWATERS BACKPACK ,"Whether heading on a multi-day trip with a lot of gear or you just like to be fully prepared, our center of gravity design will keep you on your feet through stream crossing on your way to the perfect fishing hole.",Packs,Backpacks,http://www.westbranchangler.com/site/images/items/120x120/simms_headwaters_backpack.jpg,http://www.westbranchangler.com/site/images/items/325x325/simms_headwaters_backpack.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFPHT109,149.95
WBSFPHH109,headwaters_chest_hip_pack,Simms,HEADWATERS CHEST/HIP PACK ,"Built to withstand the rigors of fresh or saltwater fishing, this versatile bag offers 440 cubic inches of storage and weighs only 19.2 ounces.",Packs,Hip_Chest_Packs,http://www.westbranchangler.com/site/images/items/120x120/simms_headwaters_chect_hip_pack.jpg,http://www.westbranchangler.com/site/images/items/325x325/simms_headwaters_chect_hip_pack.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFPHH109,79.95
WBSFPHC109,headwaters_chest_pack,Simms,HEADWATERS CHEST PACK ,"Our chest pack keeps your fly boxes and tools right where you need them without getting in the way of a cast. Attach this to the front or back of our Headwaters™ Backpack or Day Pack for easy access, or wear it alone for a light easy-to-reach gear kit.",Packs,Hip_Chest_Packs,http://www.westbranchangler.com/site/images/items/120x120/headwaters_chest_pack.jpg,http://www.westbranchangler.com/site/images/items/325x325/headwaters_chest_pack.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFPHC109,69.95
