code	mgroup	msort	next_line	indicator	exclude_on	depends_on	page	form	name	super	inactive	description	help_name	img_dn	img_up	img_sel	img_icon	url	member
001		0					WBSFCGD10		3XDRY GUIDE PANT		0								
002		2					WBSFCGS10		3XDRY GUIDESHORT		0								
003		2					WBSFCFA10		BROOK TROUT T-SHIRT SS		0								
004		2					WBSFCFB10		CUTTHROAT T-SHIRT SS		0								
005		2					WBSFLDD10		DRY CREEK DUFFEL		0								
006		2					WBSFBDR		DRY CREEK ROLL TOP		0								
007		2					WBSFWBE		EXSTREAM BOOTFOOTS		0								
008		2					WBSFSB2		FLATSSNEAKER		0								
009		2					WBSG8600		FLY LINE PERFORMANCE TAPER II		0								
010		2					WBSFCTS20		FLY TROUT SS		0								
011		2					WBSG8601		FLYLINE EQUATOR II SALTWATER		0								
012		2					WBSG8602		FLYLINE QUIET TAPER II		0								
013		2					WBSG7141		Hat "Big D's Fav"		0								
014		2					WBSG7158		Hat Beanie Wool-Max		0								
015		2					WBSG7149		Hat Full Brim		0								
016		2					WBSG7146		Hat Mesh Back		0								
017		2					WBSG7154		Hat Oil Cloth		0								
018		2					WBSG7157		Hat Small Fit		0								
019		2					WBSG7153		Hat Tactel		0								
020		2					WBSG7155		Hat Topstitch		0								
021		2					WBSG7152		Hat Unstructured Cotton FlexFit		0								
022		2					WBSG7156		Hat Waterproof Longbill		0								
